dim,mean_abs_shap,mean_signed_shap
96,0.15471727703261423,-0.009060100926726591
121,0.11369809148367495,-0.010065427045337855
153,0.11061796608380974,-0.027049629101529717
97,0.09801968809217215,-0.0033422741293907166
61,0.09490908622741699,-0.011621638331562281
98,0.0902575359120965,-0.018227824568748476
100,0.08769212344894185,-0.006707316895481199
36,0.08679989655851386,-0.017744354674359784
106,0.08278610809938983,-0.005134011537302285
148,0.08196733786026016,-0.017665532582905142
37,0.0782323030102998,-0.0174560756329447
111,0.077751668933779,-9.211326949298381e-05
38,0.07664478375576436,-0.005326240593567491
47,0.07385077922139317,-0.0016697611613199115
155,0.07240059610456229,-0.006538408575579524
104,0.06862965294509195,0.0026087525964248928
136,0.06146184687910136,-0.004828652502619661
150,0.061386769996024666,-0.013522398048080505
124,0.06013613472227007,-0.0016014316910877824
45,0.05947692206362262,-0.005248298963997513
158,0.05687999760499224,-0.006859371915925294
99,0.05549946623854339,0.0015677398256957532
154,0.054796943571418524,-0.0046370679885149
122,0.054638614268042146,-0.0050323890382424
95,0.05381019572261721,-0.006355597428046167
103,0.05287324480101233,-0.024963770595786628
140,0.051917811846360566,-0.0010900296829640865
53,0.051776784014655276,-0.005709150863112882
110,0.050959041775204245,-0.002401256007142365
123,0.05036109092179686,-0.001315714935772121
85,0.050074804292526094,0.0007580332993529737
54,0.04663354992051609,-0.011522239382611588
157,0.04525168747175485,-0.008106008577160538
127,0.04425687649054453,0.0036375323706306518
65,0.0439841034129131,-0.0018505843490493135
114,0.0433850073942449,0.0014168607408646494
50,0.04278307085623965,-0.006378620134200901
44,0.042752311620861294,-0.007396289287135005
115,0.04201517535955645,-0.000643868496408686
42,0.0417281918838853,-0.013423143766704015
43,0.04136386114638299,-0.006721804975531995
143,0.04003352479543537,-0.00270607893820852
126,0.03956654088164214,-0.01701774816552643
79,0.03941293051699177,0.0014037602790631354
91,0.038528206623159346,0.004598270230926574
137,0.03846940650808392,-0.0043237037977087315
64,0.03658448649570346,-0.005444530304521323
84,0.03627044425113127,-0.01559149794979021
130,0.03615132431965321,-0.00462830372620374
41,0.03396372995804995,-0.004825366265140474
80,0.03336734362877905,-0.015027479492127896
119,0.03178717995469924,-0.011761503661400639
86,0.03134856097633019,-0.003900590979028493
56,0.030960562136024238,-0.008326200768351555
33,0.029193876141216605,-0.003437432765495032
2,0.029031938263215123,-0.007893292247317732
146,0.028640374441165475,-0.002096068679820746
102,0.02850888842731365,-0.01385515077985474
125,0.02805814874358475,0.0012300813850015403
112,0.027763923172606154,-0.012355257099261507
34,0.027174103491706774,-0.0033327833737712355
18,0.026516935569234193,-0.0054497417295351624
16,0.02548136612866074,0.007863390683196485
66,0.02498085675004404,-0.0030393110105069354
92,0.02449428354622796,0.0018752755201421679
6,0.02171684123633895,0.0009187449427554384
71,0.02151438603643328,-0.007073219637386501
24,0.021117372390581295,-0.0056093790929298845
49,0.020898295873776077,-0.003219705931842327
142,0.02004812720755581,-0.0022837652120506393
3,0.01905601818114519,-0.0009641550830565393
12,0.01801410807296634,-0.004986465205438435
116,0.017664808651825296,-0.0037799249232193686
